a	ഒന്ന്
evolve	പരിണമിക്കുക
exact	കൃത്യം
exactly	കൃത്യമായി
examination	പരീക്ഷ
examine	പരിശോധിക്കുക
example	ഉദാഹരണം
exceed	കവിയുന്നു
excellent	മികച്ചത്
except	ഒഴികെ
exception	ഒഴിവാക്കൽ
exchange	കൈമാറ്റം
excite	ആവേശം
exciting	ആവേശകരമായ
executive	എക്സിക്യൂട്ടീവ്
exercise	വ്യായാമം
exhibit	പ്രദർശിപ്പിക്കുക
exhibition	പ്രദർശനം
exist	നിലനിൽക്കുന്നു
existence	അസ്തിത്വം
existing	നിലവിലുള്ള
expand	വികസിപ്പിക്കുക
expansion	വിപുലീകരണം
expect	പ്രതീക്ഷിക്കുന്നു
expectation	പ്രതീക്ഷ
expense	ചെലവ്
expensive	ചെലവേറിയത്
experience	അനുഭവം
experiment	പരീക്ഷണം
expert	വിദഗ്ദ്ധൻ
explain	വിശദീകരിക്കാൻ
explanation	വിശദീകരണം
explode	പൊട്ടിത്തെറിക്കുന്നു
explore	പര്യവേക്ഷണം ചെയ്യുക
explosion	സ്ഫോടനം
expose	തുറന്നുകാട്ടുക
exposure	സമ്പർക്കം
express	എക്സ്പ്രസ്
expression	ആവിഷ്കാരം
extend	നീട്ടുക
extension	വിപുലീകരണം
extensive	വിപുലമായ
extent	പരിധിവരെ
external	ബാഹ്യ
extra	അധിക
extraordinary	അസാധാരണമായ
extreme	അങ്ങേയറ്റം
extremely	അങ്ങേയറ്റം
eye	കണ്ണ്
fabric	തുണി
face	മുഖം
facility	സൗകര്യം
fact	വസ്തുത
factor	ഘടകം
factory	ഫാക്ടറി
faculty	ഫാക്കൽറ്റി
fade	മങ്ങുന്നു
fail	പരാജയപ്പെടുക
failure	പരാജയം
fair	ന്യായമായ
fairly	ന്യായമായും
faith	വിശ്വാസം
fall	വീഴുക
familiar	പരിചിതമായ
family	കുടുംബം
famous	പ്രസിദ്ധമായ
fan	ഫാൻ
fantasy	ഫാന്റസി
far	ബഹുദൂരം
farm	ഫാം
farmer	കർഷകൻ
fashion	ഫാഷൻ
fast	വേഗം
fat	കൊഴുപ്പ്
fate	വിധി
father	അച്ഛൻ
fault	തെറ്റ്
favor	പ്രീതി
favorite	പ്രിയപ്പെട്ട
fear	ഭയം
feature	സവിശേഷത
federal	ഫെഡറൽ
fee	ഫീസ്
feed	തീറ്റ
feel	അനുഭവപ്പെടുന്നു
feeling	തോന്നൽ
feet	അടി
fell	വീണു
fellow	സഹയാത്രികൻ
felt	തോന്നി
female	സ്ത്രീ
fence	വേലി
few	ചുരുക്കം
fewer	എണ്ണം കുറച്ച്
fiber	നാര്
fiction	ഫിക്ഷൻ
field	വയൽ
fifteen	പതിനഞ്ച്
fifth	അഞ്ചാമത്
fifty	അമ്പത്
fig	അത്തിപ്പഴം
fight	പോരാടുക
fighter	പോരാളി
fighting	യുദ്ധം ചെയ്യുന്നു
figure	ചിത്രം
file	ഫയൽ
fill	പൂരിപ്പിക്കുക
film	സിനിമ
final	അന്തിമ
finally	ഒടുവിൽ
finance	ധനകാര്യം
financial	സാമ്പത്തിക
find	കണ്ടെത്തുക
finding	കണ്ടെത്തുന്നു
fine	നന്നായി
finger	വിരല്
finish	പൂർത്തിയാക്കുക
fire	തീ
firm	ഉറച്ച
first	ആദ്യം
fish	മത്സ്യം
fishing	മത്സ്യബന്ധനം
fit	ഫിറ്റ്
fitness	ഫിറ്റ്നസ്
five	അഞ്ച്
fix	പരിഹരിക്കുക
flag	പതാക
flame	ജ്വാല
flat	ഫ്ലാറ്റ്
flavor	രസം
flee	ഓടിപ്പോകുക
flesh	മാംസം
flight	ഫ്ലൈറ്റ്
float	ഫ്ലോട്ട്
floor	തറ
flow	ഒഴുക്ക്
flower	പുഷ്പം
fly	പറക്കുക
focus	ഫോക്കസ്
folk	നാടൻ
follow	പിന്തുടരുക
following	താഴെ
food	ഭക്ഷണം
foot	കാൽ
football	ഫുട്ബോൾ
for	വേണ്ടി
force	ശക്തിയാണ്
foreign	വിദേശ
forest	വനം
forever	എന്നേക്കും
forget	മറക്കരുത്
form	ഫോം
formal	പചാരിക
formation	രൂപീകരണം
former	മുൻ
formula	സൂത്രവാക്യം
forth	മുന്നോട്ട്
fortune	ഭാഗ്യം
forward	മുന്നോട്ട്
found	കണ്ടെത്തി
foundation	അടിസ്ഥാനം
founder	സ്ഥാപകൻ
four	നാല്
fourth	നാലാമത്തെ
fraction	ഭിന്നസംഖ്യ
frame	ഫ്രെയിം
framework	ചട്ടക്കൂട്
free	സൗ ജന്യം
freedom	സ്വാതന്ത്ര്യം
freeze	മരവിപ്പിക്കുക
French	ഫ്രഞ്ച്
frequency	ആവൃത്തി
frequent	പതിവ്
frequently	കൂടെക്കൂടെ
fresh	പുതിയ
friend	സുഹൃത്ത്
friendly	സൗഹൃദപരമായ
friendship	സൗഹൃദം
from	മുതൽ
front	മുന്നിൽ
fruit	പഴം
frustration	നിരാശ
fuel	ഇന്ധനം
full	നിറഞ്ഞ
fully	പൂർണ്ണമായി
fun	രസകരമായ
function	പ്രവർത്തനം
fund	ഫണ്ട്
fundamental	അടിസ്ഥാനപരമായ
funding	ധനസഹായം
funeral	ശവസംസ്കാരം
funny	തമാശ
furniture	ഫർണിച്ചർ
furthermore	കൂടുതൽ
future	ഭാവി
gain	നേട്ടം
galaxy	താരാപഥം
gallery	ഗാലറി
game	കളി
gang	സംഘം
gap	വിടവ്
garage	ഗാരേജ്
garden	തോട്ടം
garlic	വെളുത്തുള്ളി
gas	ഗ്യാസ്
gate	ഗേറ്റ്
gather	കൂട്ടിച്ചേർക്കും
gave	കൊടുത്തു
gay	ഗേ
gaze	നോക്കുക
gear	ഗിയര്
gender	ലിംഗഭേദം
gene	ജീൻ
general	പൊതുവായ
generally	പൊതുവേ
generate	സൃഷ്ടിക്കുക
generation	തലമുറ
genetic	ജനിതക
gentle	സൗമ്യമായ
gentleman	മാന്യൻ
gently	സentlyമ്യമായി
German	ജർമ്മൻ
gesture	ആംഗ്യം
get	നേടുക
ghost	പ്രേതം
giant	ഭീമൻ
gift	സമ്മാനം
gifted	സമ്മാനിച്ചത്
girl	പെൺകുട്ടി
girlfriend	കാമുകി
give	കൊടുക്കുക
given	നൽകി
glad	സന്തോഷിപ്പിക്കുന്നു
glance	നോട്ടം
glass	ഗ്ലാസ്
global	ആഗോള
glove	കയ്യുറ
go	പോകുക
goal	ലക്ഷ്യം
God	ദൈവം
gold	സ്വർണം
golden	പൊൻ
golf	ഗോൾഫ്
gone	പോയി
good	നല്ല
got	ലഭിച്ചു
govern	ഭരിക്കുന്നു
government	സർക്കാർ
governor	ഗവർണർ
grab	പിടിക്കുക
grade	ഗ്രേഡ്
gradually	ക്രമേണ
graduate	ബിരുദധാരി
grain	ധാന്യം
grand	ഗംഭീരം
grandfather	മുത്തച്ഛൻ
grandmother	മുത്തശ്ശി
grant	അനുവദിക്കുക
grass	പുല്ല്
grave	കുഴിമാടം
gray	ചാരനിറം
great	വലിയ
greatest	ഏറ്റവും വലിയ
green	പച്ച
grew	വളർന്നു
grocery	പലചരക്ക്
ground	നിലം
group	ഗ്രൂപ്പ്
grow	വളരുക
growing	വളരുന്നു
growth	വളർച്ച
guarantee	ഗ്യാരണ്ടി
guard	കാവൽക്കാരൻ
guess	ഊഹിക്കുക
guest	അതിഥി
guide	വഴികാട്ടി
guideline	മാർഗരേഖ
guilty	കുറ്റവാളി
gun	തോക്ക്
guy	ആള്‍
habit	ശീലം
habitat	ആവാസവ്യവസ്ഥ
had	ഉണ്ടായിരുന്നു
hair	മുടി
half	പകുതി
hall	ഹാൾ
hand	കൈ
handful	കൈ നിറയ
handle	കൈകാര്യം ചെയ്യുക
hang	തൂക്കുക
happen	സംഭവിക്കുക
happy	സന്തോഷം
hard	കഠിനമായ
hardly	കഷ്ടിച്ച്
has	ഉണ്ട്
hat	തൊപ്പി
hate	വെറുക്കുന്നു
have	ഉണ്ട്
he	അവൻ
head	തല
headline	തലക്കെട്ട്
headquarters	ആസ്ഥാനം
health	ആരോഗ്യം
healthy	ആരോഗ്യമുള്ള
hear	കേൾക്കുക
heard	കേട്ടു
hearing	കേൾവി
heart	ഹൃദയം
heat	ചൂട്
heaven	സ്വർഗ്ഗം
heavily	കനത്ത
heavy	കനത്ത
heel	കുതികാൽ
height	ഉയരം
held	നടന്ന
helicopter	ഹെലികോപ്റ്റർ
hell	നരകം
hello	ഹലോ
help	സഹായം
helpful	സഹായകരമായ
her	അവളുടെ
here	ഇവിടെ
heritage	പൈതൃകം
hero	കഥാനായകന്
herself	സ്വയം
hey	ഹേയ്
hi	ഹായ്
hide	മറയ്ക്കുക
high	ഉയർന്ന
highlight	ഹൈലൈറ്റ്
highly	വളരെ
highway	ഹൈവേ
hill	മലയോര
him	അവനെ
himself	സ്വയം
hip	ഇടുപ്പ്
hire	കൂലി
his	അദ്ദേഹത്തിന്റെ
historian	ചരിത്രകാരൻ
historic	ചരിത്രപരമായ
historical	ചരിത്രപരമായ
history	ചരിത്രം
hit	ഹിറ്റ്
hold	പിടിക്കുക
hole	ദ്വാരം
holiday	അവധി
holy	വിശുദ്ധ
home	വീട്ടിൽ
homeless	വീടില്ലാത്തവർ
honest	സത്യസന്ധൻ
honey	തേന്
honor	ബഹുമാനം
hope	പ്രതീക്ഷിക്കുന്നു
horizon	ചക്രവാളം
horror	ഭയങ്കരതം
horse	കുതിര
hospital	ആശുപത്രി
host	ആതിഥേയ
hot	ചൂടുള്ള
hotel	ഹോട്ടൽ
hour	മണിക്കൂർ
house	വീട്
household	ഗാർഹിക
housing	പാർപ്പിട
how	എങ്ങനെ
however	എന്നിരുന്നാലും
huge	വൻ
human	മനുഷ്യൻ
humor	ഹാസ്യം
hundred	നൂറ്
hungry	വിശക്കുന്നു
hunt	വേട്ട
hunter	വേട്ടക്കാരൻ
hunting	വേട്ടയാടൽ
hurry	വേഗം
hurt	വേദനിപ്പിച്ചു
husband	ഭർത്താവ്
hypothesis	സിദ്ധാന്തം
I	ഐ
ice	ഐസ്
idea	ആശയം
ideal	ആദർശം
identification	തിരിച്ചറിയൽ
identify	തിരിച്ചറിയുക
identity	ഐഡന്റിറ്റി
ie	അതായത്
if	എങ്കിൽ
ignore	അവഗണിക്കുക
ill	അസുഖം
illegal	നിയമവിരുദ്ധം
illness	അസുഖം
illustrate	ചിത്രീകരിക്കുക
image	ചിത്രം
imagination	ഭാവന
imagine	സങ്കൽപ്പിക്കുക
immediate	ഉടനടി
immediately	ഉടനെ
immigrant	കുടിയേറ്റക്കാരൻ
immigration	കുടിയേറ്റം
impact	ആഘാതം
implement	നടപ്പിലാക്കുക
implication	അർത്ഥം
imply	സൂചിപ്പിക്കുന്നു
importance	പ്രാധാന്യം
important	പ്രധാനപ്പെട്ട
impose	ചുമത്തുന്നതു
impossible	അസാധ്യമാണ്
impress	മതിപ്പുളവാക്കുക
impression	മതിപ്പ്
impressive	ആകർഷണീയമായ
improve	മെച്ചപ്പെടുത്തുക
improvement	മെച്ചപ്പെടുത്തൽ
in	ൽ
incentive	പ്രോത്സാഹനം
inch	ഇഞ്ച്
incident	സംഭവം
include	ഉൾപ്പെടുന്നു
including	ഉൾപ്പെടെ
income	വരുമാനം
incorporate	സംയോജിപ്പിക്കുക
increase	വർധിപ്പിക്കുക
increased	വർദ്ധിച്ചു
increasing	വർദ്ധിച്ചുവരുന്ന
increasingly	വർദ്ധിച്ചുവരുന്ന
incredible	അവിശ്വസനീയമായ
indeed	തീർച്ചയായും
independence	സ്വാതന്ത്ര്യം
independent	സ്വതന്ത്ര
index	സൂചിക
Indian	ഇന്ത്യൻ
indicate	സൂചിപ്പിക്കുക
indication	സൂചന
individual	വ്യക്തി
industrial	വ്യാവസായിക
industry	വ്യവസായം
infant	ശിശു
infection	അണുബാധ
inflation	പണപ്പെരുപ്പം
influence	സ്വാധീനം
inform	അറിയിക്കുക
information	വിവരങ്ങൾ
ingredient	ഘടകം
initial	പ്രാരംഭം
initially	തുടക്കത്തിൽ
initiative	മുൻകൈ
injury	പരിക്ക്
inner	അകത്തെ
innocent	നിരപരാധി
inquiry	അന്വേഷണം
insect	പ്രാണി
inside	അകത്ത്
insight	ഉൾക്കാഴ്ച
insist	നിർബന്ധിക്കുക
inspire	പ്രചോദിപ്പിക്കുക
install	ഇൻസ്റ്റാൾ ചെയ്യുക
instance	ഉദാഹരണം
instant	തൽക്ഷണം
instead	പകരം
institution	സ്ഥാപനം
institutional	സ്ഥാപനപരമായ
instruction	നിർദ്ദേശം
instructor	പരിശീലകൻ
instrument	ഉപകരണം
insurance	ഇൻഷുറൻസ്
intellectual	ബൗദ്ധിക
intelligence	ബുദ്ധി
intend	ഉദ്ദേശിക്കുന്നു
intense	തീവ്രമായ
intensity	തീവ്രത
intention	ഉദ്ദേശം
interaction	ഇടപെടൽ
interest	പലിശ
interested	താൽപ്പര്യമുണ്ട്
interesting	രസകരമായ
internal	ആന്തരിക
international	അന്താരാഷ്ട്ര
Internet	ഇന്റർനെറ്റ്
interpret	വ്യാഖ്യാനിക്കുക
interpretation	വ്യാഖ്യാനം
intervention	ഇടപെടൽ
interview	അഭിമുഖം
into	ഉള്ളിലേക്ക്
introduce	പരിചയപ്പെടുത്തുക
introduction	ആമുഖം
invasion	അധിനിവേശം
invent	കണ്ടുപിടിക്കുക
invest	നിക്ഷേപിക്കുക
investigate	അന്വേഷിക്കുക
investigation	അന്വേഷണം
investigator	അന്വേഷകൻ
investment	നിക്ഷേപം
investor	നിക്ഷേപകൻ
invite	ക്ഷണിക്കുക
involve	ഉൾപ്പെടുന്നു
involved	ഉൾപ്പെട്ടിരിക്കുന്നത്
involvement	ഇടപെടൽ
Iraqi	ഇറാഖി
Irish	ഐറിഷ്
iron	ഇരുമ്പ്
is	ആണ്
Islamic	ഇസ്ലാമിക
island	ദ്വീപ്
Israeli	ഇസ്രായേലി
issue	ഇഷ്യൂ
it	അത്
Italian	ഇറ്റാലിയൻ
item	ഇനം
its	അതിന്റെ
itself	സ്വയം
jacket	ജാക്കറ്റ്
jail	ജയിൽ
Japanese	ജാപ്പനീസ്
jet	ജെറ്റ്
Jew	ജൂതൻ
Jewish	ജൂതൻ
job	ജോലി
join	ചേരുക
joint	സംയുക്ത
joke	തമാശ
journal	ജേണൽ
journalist	പത്രപ്രവർത്തകൻ
journey	യാത്രയെ
joy	സന്തോഷം
judge	ന്യായാധിപൻ
judgment	വിധി
juice	ജ്യൂസ്
jump	ചാടുക
junior	ഇളമുറയായ
jury	ജൂറി
just	വെറും
justice	നീതി
justify	ന്യായീകരിക്കുക
keep	സൂക്ഷിക്കുക
kept	സൂക്ഷിച്ചു
key	കീ
kick	തൊഴി
kid	കൊച്ചു
kill	കൊല്ലുക
killer	കൊലയാളി
killing	കൊല്ലുന്നു
kind	ദയ
king	രാജാവ്
kiss	ചുംബിക്കുക
kitchen	അടുക്കള
knee	മുട്ട്
knew	അറിയാമായിരുന്നു
knife	കത്തി
knock	മുട്ടുക
know	അറിയാം
knowledge	അറിവ്
lab	ലാബ്
label	ലേബൽ
labor	അധ്വാനം
laboratory	ലബോറട്ടറി
lack	അഭാവം
lady	സ്ത്രീ
lake	തടാകം
land	ഭൂമി
landscape	ഭൂപ്രകൃതി
language	ഭാഷ
lap	മടി
large	വലിയ
largely	വലിയതോതിൽ
last	അവസാനത്തെ
late	വൈകി
later	പിന്നീട്
Latin	ലാറ്റിൻ
latter	പിന്നത്തെ
laugh	ചിരിക്കുക
launch	വിക്ഷേപണം
law	നിയമം
lawn	പുൽത്തകിടി
lawsuit	കേസ്
lawyer	അഭിഭാഷകൻ
lay	കിടന്നു
layer	പാളി
lead	ലീഡ്
leader	നേതാവ്
leadership	നേതൃത്വം
leading	നയിക്കുന്നത്
leaf	ഇല
league	ലീഗ്
lean	മെലിഞ്ഞ
learn	പഠിക്കുക
learning	പഠിക്കുന്നത്
least	കുറഞ്ഞത്
leather	തുകൽ
leave	വിട്ടേക്കുക
led	എൽഇഡി
left	ഇടത്തെ
leg	കാല്
legacy	പൈതൃകം
legal	നിയമപരമായ
legend	ഇതിഹാസം
legislation	നിയമനിർമ്മാണം
legitimate	നിയമാനുസൃതം
lemon	നാരങ്ങ
length	നീളം
less	കുറവ്
lesson	പാഠം
let	അനുവദിക്കുക
letter	കത്ത്
level	നില
liberal	ലിബറൽ
library	പുസ്തകശാല
license	ലൈസൻസ്
lie	കള്ളം
life	ജീവിതം
lifestyle	ജീവിതശൈലി
lifetime	ജീവിതകാലം
lift	ലിഫ്റ്റ്
light	വെളിച്ചം
like	പോലെ
likely	സാധ്യത
limit	പരിധി
limitation	പരിമിതപ്പെടുത്താതെ
limited	പരിമിതമാണ്
line	ലൈൻ
link	ലിങ്ക്
lip	അധരം
liquid	ദ്രാവക
list	പട്ടിക
listen	കേൾക്കുക
literally	അക്ഷരാർത്ഥത്തിൽ
literary	സാഹിത്യ
literature	സാഹിത്യം
little	അല്പം
live	തത്സമയം
living	ജീവിക്കുന്നത്
load	ലോഡ്
loan	വായ്പ
local	പ്രാദേശിക
locate	കണ്ടെത്തുക
location	സ്ഥാനം
lock	ലോക്ക്
log	ലോഗ്
lone	ഒറ്റയ്ക്ക്
long	നീളമുള്ള
long-term	ദീർഘകാല
look	നോക്കൂ
loose	അയഞ്ഞ
lose	നഷ്ടപ്പെടും
loss	നഷ്ടം
lost	നഷ്ടപ്പെട്ടു
lot	ഭൂരിഭാഗം
lots	ധാരാളം
loud	ഉച്ചത്തിൽ
love	സ്നേഹം
lovely	മനോഹരം
lover	കാമുകൻ
low	കുറഞ്ഞ
lower	താഴത്തെ
luck	ഭാഗ്യം
lucky	ഭാഗ്യവാൻ
lunch	ഉച്ചഭക്ഷണം
lung	ശാസകോശം
machine	യന്ത്രം
mad	ഭ്രാന്തൻ
made	ഉണ്ടാക്കി
magazine	മാസിക
magnet	കാന്തം
mail	മെയിൽ
main	പ്രധാന
mainly	പ്രധാനമായും
maintain	പരിപാലിക്കുക
maintenance	പരിപാലനം
major	പ്രധാന
majority	ഭൂരിപക്ഷം
make	ഉണ്ടാക്കുക
maker	നിർമ്മാതാവ്
makeup	മേക്ക് അപ്പ്
male	ആൺ
mall	മാൾ
man	മനുഷ്യൻ
manage	കൈകാര്യം ചെയ്യുക
management	മാനേജ്മെന്റ്
manager	മാനേജർ
manner	വിധത്തിൽ
manufacturer	നിർമ്മാതാവ്
manufacturing	ഉത്പാദനം
many	നിരവധി
map	ഭൂപടം
margin	മാർജിൻ
mark	അടയാളം
market	വിപണി
marketing	വിപണനം
marriage	വിവാഹം
married	വിവാഹിതനായി
marry	വിവാഹം
mask	മാസ്ക്
mass	പിണ്ഡം
massive	കൂറ്റൻ
master	മാസ്റ്റർ
match	പൊരുത്തം
material	മെറ്റീരിയൽ
math	ഗണിതം
matter	കാര്യം
may	മെയ്
maybe	ഒരുപക്ഷേ
mayor	മേയർ
me	എന്നെ
meal	ഭക്ഷണം
mean	അർത്ഥം
meaning	അർത്ഥം
meant	ഉദ്ദേശിച്ചത്
meanwhile	അതേസമയം
measure	അളക്കുക
measurement	അളവ്
meat	മാംസം
mechanism	സംവിധാനം
media	മാധ്യമങ്ങൾ
medical	മെഡിക്കൽ
medication	മരുന്ന്
medicine	മരുന്ന്
medium	ഇടത്തരം
meet	കണ്ടുമുട്ടുക
meeting	യോഗം
melody	ഈണം
member	അംഗം
membership	അംഗത്വം
memory	മെമ്മറി
men	പുരുഷന്മാർ
mental	മാനസിക
mention	പരാമർശിക്കുക
menu	മെനു
mere	വെറും
merely	കേവലം
mess	കുഴപ്പം
message	സന്ദേശം
metal	ലോഹം
meter	മീറ്റർ
method	രീതി
Mexican	മെക്സിക്കൻ
middle	മധ്യത്തിൽ
might	ശക്തി
mile	നാഴിക
military	സൈനിക
milk	പാൽ
million	ദശലക്ഷം
mind	മനസ്സ്
mine	എന്റെ
minister	മന്ത്രി
minor	പ്രായപൂർത്തിയാകാത്ത
minority	ന്യൂനപക്ഷം
minute	മിനിറ്റ്
miracle	അത്ഭുതം
mirror	കണ്ണാടി
miss	ഉന്നംതെറ്റുക
missile	മിസൈൽ
mission	ദൗത്യം
mistake	തെറ്റ്
mix	ഇളക്കുക
mixture	മിശ്രിതം
mode	മോഡ്
model	മോഡൽ
moderate	മിതത്വം
modern	ആധുനിക
modest	എളിമയുള്ള
molecule	തന്മാത്ര
mom	അമ്മ
moment	നിമിഷം
money	പണം
monitor	മോണിറ്റർ
month	മാസം
mood	മാനസികാവസ്ഥ
moon	ചന്ദ്രൻ
moral	ധാർമ്മിക
more	കൂടുതൽ
moreover	കൂടാതെ
morning	രാവിലെ
mortgage	ജാമ്യം
most	ഏറ്റവും
mostly	കൂടുതലും
mother	അമ്മ
motion	ചലനം
motivation	പ്രചോദനം
motor	മോട്ടോർ
mount	മ .ണ്ട്
mountain	മല
mouse	മൗസ്
mouth	വായ
move	നീക്കുക
movement	പ്രസ്ഥാനം
movie	സിനിമ
Mr	മിസ്റ്റർ
Mrs	ശ്രീമതി
Ms	മിസ്
much	വളരെ
multiple	ഒന്നിലധികം
multiply	പെരുകുക
murder	കൊലപാതകം
muscle	മാംസപേശി
museum	മ്യൂസിയം
music	സംഗീതം
musical	സംഗീത
musician	സംഗീതജ്ഞൻ
Muslim	മുസ്ലീം
must	വേണം
mutual	പരസ്പരമുള്ള
my	എന്റെ
myself	സ്വയം
mystery	നിഗൂ .ത
myth	കെട്ടുകഥ
naked	നഗ്നനായി
name	പേര്
narrative	ആഖ്യാനം
narrow	ഇടുങ്ങിയ
nation	രാഷ്ട്രം
national	ദേശീയ
native	സ്വദേശി
natural	സ്വാഭാവികം
naturally	സ്വാഭാവികമായും
nature	പ്രകൃതി
near	സമീപം
nearby	സമീപത്ത്
nearly	ഏതാണ്ട്
necessarily	അനിവാര്യമായും
necessary	അത്യാവശ്യം
neck	കഴുത്ത്
need	ആവശ്യം
negative	നെഗറ്റീവ്
negotiate	ചർച്ച
negotiation	ചർച്ച
neighbor	അയൽക്കാരൻ
neighborhood	അയൽപ്പക്കം
neither	അല്ല
nerve	നാഡി
nervous	നാഡീവ്യൂഹം
net	വല
network	നെറ്റ്‌വർക്ക്
never	ഒരിക്കലും
nevertheless	എന്നിരുന്നാലും
new	പുതിയ
newly	പുതുതായി
news	വാർത്ത
newspaper	പത്രം
next	അടുത്തത്
nice	നല്ല
night	രാത്രി
nine	ഒമ്പത്
no	ഇല്ല
nobody	ആരും
nod	തലയാട്ടുക
noise	ശബ്ദം
nomination	നാമനിർദ്ദേശം
none	ഒന്നുമില്ല
nonetheless	എന്നിരുന്നാലും
noon	ഉച്ച
nor	അല്ല
normal	സാധാരണ
normally	സാധാരണ
north	വടക്ക്
northern	വടക്കൻ
nose	മൂക്ക്
not	അല്ല
note	കുറിപ്പ്
nothing	ഒന്നുമില്ല
notice	നോട്ടീസ്
notion	ആശയം
noun	നാമം
novel	നോവൽ
now	ഇപ്പോൾ
nowhere	ഒരിടത്തുമില്ല
n’t	അല്ല
nuclear	ആണവ
number	നമ്പർ
numeral	സംഖ്യ
numerous	നിരവധി
nurse	നഴ്സ്
nut	നട്ട്
object	വസ്തു
objective	വസ്തുനിഷ്ഠം
obligation	ബാധ്യത
observation	നിരീക്ഷണം
observe	നിരീക്ഷിക്കുക
observer	നിരീക്ഷകൻ
obtain	നേടുക
obvious	വ്യക്തമാണ്
obviously	സ്പഷ്ടമായി
occasion	അവസരത്തിൽ
occasionally	ഇടയ്ക്കിടെ
occupation	തൊഴിൽ
occupy	അധിനിവേശം
occur	സംഭവിക്കുന്നു
ocean	സമുദ്രം
odd	വിചിത്രമായ
odds	സാധ്യതകൾ
of	യുടെ
off	ഓഫ്
offense	കുറ്റമായാണ്
offensive	ആക്രമണാത്മക
offer	ഓഫർ
office	ഓഫീസ്
officer	ഉദ്യോഗസ്ഥൻ
official	ദ്യോഗിക
often	പലപ്പോഴും
oh	ഓ
oil	എണ്ണ
ok	ശരി
okay	ശരി
old	പഴയത്
Olympic	ഒളിമ്പിക്
on	ന്
once	ഒരിക്കല്
one	ഒന്ന്
ongoing	തുടരുന്നു
onion	ഉള്ളി
online	ഓൺലൈൻ
only	മാത്രം
onto	ന്
open	തുറക്കുക
opening	തുറക്കുന്നു
operate	പ്രവർത്തിക്കുക
operating	പ്രവർത്തിക്കുന്നത്
operation	പ്രവർത്തനം
operator	ഓപ്പറേറ്റർ
opinion	അഭിപ്രായം
opponent	എതിരാളി
opportunity	അവസരം
oppose	എതിർക്കുക
opposite	എതിർവശത്ത്
opposition	എതിർപ്പ്
option	ഓപ്ഷൻ
or	അഥവാ
orange	ഓറഞ്ച്
order	ഓർഡർ
ordinary	സാധാരണ
organ	അവയവം
organic	ജൈവ
organization	സംഘടന
organize	സംഘടിപ്പിക്കുക
orientation	ഓറിയന്റേഷൻ
origin	ഉത്ഭവം
original	ഒറിജിനൽ
originally	യഥാർത്ഥത്തിൽ
other	മറ്റ്
others	മറ്റുള്ളവർ
otherwise	അല്ലാത്തപക്ഷം
ought	വേണം
our	നമ്മുടെ
ourselves	സ്വയം
out	പുറത്ത്
outcome	ഫലം
outside	പുറത്ത്
oven	അടുപ്പ്
over	ഓവർ
overall	മൊത്തത്തിൽ
overcome	മറികടക്കുക
overlook	അവഗണിക്കുക
owe	കടപ്പെട്ടിരിക്കുന്നു
own	സ്വന്തം
owner	ഉടമ
oxygen	ഓക്സിജൻ
pace	പേസ്
pack	പായ്ക്ക്
package	പാക്കേജ്
page	പേജ്
pain	വേദന
painful	വേദനാജനകമായ
paint	പെയിന്റ്
painter	ചിത്രകാരൻ
painting	പെയിന്റിംഗ്
pair	ജോഡി
pale	വിളറിയ
Palestinian	പലസ്തീൻ
palm	ഈന്തപ്പന
pan	പാൻ
panel	പാനൽ
pant	പാന്റ്
paper	പേപ്പർ
paragraph	ഖണ്ഡിക
parent	രക്ഷിതാവ്
park	പാർക്ക്
parking	പാർക്കിംഗ്
part	ഭാഗം
participant	പങ്കാളി
participate	പങ്കെടുക്കുക
participation	പങ്കാളിത്തം
particular	പ്രത്യേക
particularly	പ്രത്യേകിച്ചും
partly	ഭാഗികമായി
partner	പങ്കാളി
partnership	പങ്കാളിത്തം
party	പാർട്ടി
pass	പാസ്
passage	കടന്നുപോകൽ
passenger	യാത്രക്കാരൻ
passion	അഭിനിവേശം
past	കഴിഞ്ഞ
patch	പാച്ച്
path	പാത
patient	ക്ഷമ
pattern	മാതൃക
pause	താൽക്കാലികമായി നിർത്തുക
pay	പണം
payment	പേയ്മെന്റ്
PC	പി.സി.
peace	സമാധാനം
peak	കൊടുമുടി
peer	സമപ്രായക്കാരൻ
penalty	പിഴ
people	ജനങ്ങൾ
pepper	കുരുമുളക്
per	ഓരോ
perceive	ഗ്രഹിക്കുക
percentage	ശതമാനം
perception	ധാരണ
perfect	തികഞ്ഞ
perfectly	തികച്ചും
perform	നിർവഹിക്കുക
performance	പ്രകടനം
perhaps	ഒരുപക്ഷേ
period	കാലയളവ്
permanent	സ്ഥിരമായ
permission	അനുമതി
permit	അനുമതി
person	വ്യക്തി
personal	വ്യക്തിപരമായ
personality	വ്യക്തിത്വം
personally	വ്യക്തിപരമായി
personnel	ഉദ്യോഗസ്ഥർ
perspective	കാഴ്ചപ്പാട്
persuade	പ്രേരിപ്പിക്കുക
pet	വളർത്തുമൃഗങ്ങൾ
phase	ഘട്ടം
phenomenon	പ്രതിഭാസം
philosophy	തത്ത്വചിന്ത
phone	ഫോൺ
photo	ഫോട്ടോ
photograph	ഫോട്ടോ
photographer	ഫോട്ടോഗ്രാഫർ
phrase	പദപ്രയോഗം
physical	ശാരീരിക
physically	ശാരീരികമായി
physician	വൈദ്യൻ
piano	പിയാനോ
pick	പിക്ക്
picture	ചിത്രം
